provinces,cities,A2,A3_1,A4,A7a,A8a,A10,A15,A18,A42_3,answear,Langchain,key,fact_vnum,answear_vacnum
北京市,北京市,女,1967,满,中专,96000,群众,很健康,非农业户口,完全不同意,比较不同意,作为一个54岁的满族女性，我生活在北京，拥有中专学历，去年全年收入为96000元。我的政治面貌是群众，身体健康状况良好，户口为非农业户口。结合我的生活经历和现状，我认为‘干得好不如嫁得好’这一观点并不完全适用于我的情况。首先，我通过自己的努力获得了稳定的收入，这让我在经济上独立，不需要依赖他人。其次，我的健康状况良好，能够继续工作并为社会做出贡献。最后，我的非农业户口和在北京的生活环境也为我提供了更多的机会和资源。因此，我认为个人的努力和成就是非常重要的，而不仅仅是依赖于婚姻。,"经济独立, 健康状况, 生活环境",0,1
北京市,北京市,女,1945,汉,中专,60000,共产党员,很健康,居民户口（以前是农业户口）,完全不同意,完全不同意,作为一名76岁的汉族女性，我拥有中专学历，去年全年收入为60000元，政治面貌是共产党员，身体健康状况良好，户口登记状况为居民户口（以前是农业户口）。我生活在北京，经历了中国社会的巨大变迁。我认为，个人的努力和成就是非常重要的，尤其是在现代社会，女性有更多的机会通过自己的努力实现自我价值。虽然婚姻在传统观念中被视为女性幸福的重要来源，但我认为，现代女性应该追求独立和自主，通过自己的努力获得成就和满足感。因此，我不同意‘干得好不如嫁得好’的观点。,"独立, 自主, 努力",0,0
北京市,北京市,男,1949,汉,大学本科（成人高等教育）,96000,共产党员,比较健康,居民户口（以前是农业户口）,完全不同意,完全不同意,作为一个72岁的男性，我经历了中国社会的巨大变迁，从农业户口转变为居民户口，这反映了社会的发展和进步。我拥有大学本科（成人高等教育）学历，这表明我重视教育和自我提升。作为共产党员，我坚信个人努力和社会贡献的重要性。我的年收入为96000元，虽然不算高，但足以维持一个比较健康的生活。基于这些身份信息，我认为个人的成功不仅仅依赖于婚姻，而是通过个人的努力和社会的支持共同实现的。因此，我不同意‘干得好不如嫁得好’的观点。,"个人努力, 社会贡献, 教育价值",0,0
北京市,北京市,男,1986,汉,大学本科（成人高等教育）,160000,群众,比较健康,农业户口,无所谓同意不同意,完全不同意,作为一个35岁的男性，我拥有大学本科（成人高等教育）学历，去年全年收入为160000元，居住在北京市，户口登记状况为农业户口。考虑到我的教育背景和收入水平，我认为个人的努力和职业发展对于生活质量的影响更为重要。虽然婚姻在某种程度上可以提供经济支持，但我更倾向于通过自己的努力来提升生活品质。此外，作为汉族群众，我受到传统文化的影响，认为男女平等，婚姻应该是基于相互尊重和支持的，而不是单纯的经济依赖。因此，我认为干得好比嫁得好更为重要。,"个人努力, 职业发展, 男女平等",2,0
北京市,北京市,女,1958,汉,中专,48000,群众,比较健康,非农业户口,比较不同意,比较不同意,作为一个63岁的汉族女性，我生活在北京，拥有中专学历，去年全年收入为48000元。我的政治面貌是群众，身体健康状况比较健康，户口登记状况为非农业户口。结合我的生活经历和现状，我认为‘干得好不如嫁得好’这一观点并不完全适用于我。首先，我通过自己的努力获得了中专学历，并在工作中取得了一定的收入，这体现了我的独立性和能力。其次，我的健康状况比较健康，说明我能够独立生活，不需要完全依赖他人。最后，我的户口登记状况为非农业户口，这意味着我在城市中有一定的社会地位和资源。因此，我认为‘干得好’和‘嫁得好’都是重要的，但‘干得好’更能体现个人的价值和独立性。,"独立性, 能力, 社会地位",1,1
北京市,北京市,男,1996,汉,大学专科（成人高等教育）,600000,群众,比较健康,居民户口（以前是非农业户口）,比较同意,完全不同意,作为一个25岁的男性，我目前住在北京市，拥有大学专科（成人高等教育）学历，去年全年收入为600000元。我的政治面貌是群众，身体健康状况比较健康，户口登记状况为居民户口。考虑到我的性别、年龄、收入水平和社会地位，我认为在现代社会中，个人的努力和成就是非常重要的。虽然婚姻在某些情况下可能带来经济上的支持，但长期来看，个人的职业发展和自我实现更为关键。因此，我认为干得好比嫁得好更为重要。,"性别, 收入, 职业发展",3,0
北京市,北京市,女,1983,汉,研究生及以上,400000,共青团员,比较健康,居民户口（以前是非农业户口）,完全不同意,完全不同意,作为一个38岁的女士，我拥有研究生及以上的学历，去年全年收入为400000元，居住在北京市，户口登记状况为居民户口。这些信息表明我具备较高的教育背景和经济独立性。我认为，个人的成功不仅仅依赖于婚姻，而是通过自身的努力和才能实现的。我的职业成就和经济状况证明了这一点。因此，我不同意‘干得好不如嫁得好’的观点，因为我相信个人的努力和成就是实现自我价值的关键。,"教育背景, 经济独立, 个人努力",0,0
北京市,北京市,男,1945,汉,普通高中,78000,群众,一般,非农业户口,比较同意,比较不同意,作为一个76岁的汉族男性，我拥有普通高中学历，去年全年收入为78000元，政治面貌为群众，身体健康状况一般，户口登记状况为非农业户口。结合我的身份信息，我认为'干得好不如嫁得好'这一观点并不完全适用于我的情况。首先，作为一个男性，我并没有'嫁'这一选项，因此这一观点对我个人而言并不直接相关。其次，我通过自己的努力获得了稳定的收入，虽然收入不高，但足以维持生活，这让我更加认同'干得好'的重要性。最后，我的生活经历让我更加注重个人的努力和独立性，而不是依赖他人。因此，我倾向于不同意这一观点。,性别，收入，独立性,3,1
北京市,北京市,男,1987,汉,大学专科（正规高等教育）,100000,群众,一般,农业户口,完全不同意,完全不同意,作为一个34岁的男性，我拥有大学专科学历，去年全年收入为100000元，居住在北京市，户口登记状况为农业户口。我的政治面貌是群众，身体健康状况一般。考虑到我的教育背景和收入水平，我认为个人的努力和职业发展对于生活质量的影响更为重要。虽然社会上有‘干得好不如嫁得好’的说法，但作为一个男性，我更倾向于通过自己的努力来提升生活质量和实现个人价值。此外，我的农业户口背景也让我更加重视个人奋斗，因为农业户口通常意味着更多的社会和经济挑战，需要通过个人努力来克服。因此，我不同意‘干得好不如嫁得好’的观点。,"个人努力, 职业发展, 农业户口",0,0
北京市,北京市,男,1991,汉,大学本科（正规高等教育）,200000,群众,比较健康,农业户口,比较同意,完全不同意,作为一个30岁的男性，我拥有大学本科学历，去年全年收入为200000元，居住在北京市，户口登记为农业户口。我认为，个人的成功不仅仅依赖于婚姻，而是通过自身的努力和职业发展来实现。虽然社会上有‘干得好不如嫁得好’的说法，但我认为这种观点过于片面。作为一个比较健康的群众，我更倾向于通过自己的努力来提升生活质量和社会地位。因此，我不同意这种观点。,"个人努力,职业发展,社会地位",3,0
